image_name,tags,augment
train_13083,clear cultivation habitation primary water,"[1,1]"
train_33296,cloudy,"[3,1]"
train_31921,clear primary,"[2,1]"
train_36595,clear primary,"[3,0]"
train_32291,bare_ground clear primary,"[1,1]"
train_2351,clear primary water,"[2,0]"
train_28353,clear primary,"[2,0]"
train_35667,clear primary water,"[3,0]"
train_15758,clear primary,"[3,1]"
train_38425,clear primary,"[3,1]"
train_26843,partly_cloudy primary,"[1,1]"
train_5844,clear primary,"[2,0]"
train_36455,clear primary road water,"[1,0]"
train_40012,agriculture partly_cloudy primary,"[3,1]"
train_36629,agriculture clear cultivation habitation primary road water,"[3,1]"
train_7158,clear primary,"[2,1]"
train_26564,cloudy,"[1,1]"
train_5675,cloudy,"[1,1]"
train_7445,agriculture clear cultivation primary,"[3,0]"
train_15657,clear primary,"[3,0]"
train_37037,clear water,"[1,0]"
train_24998,clear primary,"[1,1]"
train_37685,clear primary,"[2,1]"
train_10003,clear primary,"[3,1]"
train_8364,agriculture clear primary water,"[3,1]"
train_38719,agriculture clear cultivation habitation primary water,"[1,1]"
train_790,cloudy,"[2,1]"
train_22679,clear primary,"[3,1]"
train_9249,agriculture clear water,"[2,0]"
train_3156,clear primary,"[1,1]"
train_13644,clear primary,"[1,0]"
train_30883,agriculture partly_cloudy primary,"[3,0]"
train_36572,partly_cloudy primary,"[1,0]"
train_6740,haze primary,"[2,0]"
train_6330,clear primary,"[1,0]"
train_9331,agriculture clear habitation primary road,"[1,1]"
train_21074,clear primary,"[2,0]"
train_12758,clear primary,"[2,0]"
train_14754,agriculture clear primary,"[1,0]"
train_27275,partly_cloudy primary water,"[3,0]"
train_24278,agriculture partly_cloudy primary,"[1,0]"
train_1525,agriculture clear habitation primary road,"[3,0]"
train_17696,agriculture clear primary road,"[1,1]"
train_22018,clear primary,"[3,1]"
train_37529,clear primary,"[2,1]"
train_17539,agriculture clear habitation primary road,"[3,1]"
train_26885,haze primary,"[2,0]"
train_12658,agriculture bare_ground clear,"[3,0]"
train_26450,cultivation partly_cloudy primary,"[2,1]"
train_25000,haze primary,"[3,0]"
train_22754,clear primary,"[2,1]"
train_34283,agriculture clear primary,"[2,0]"
train_8952,clear primary,"[1,0]"
train_1496,haze primary,"[3,0]"
train_32600,clear primary,"[1,1]"
train_21494,clear primary,"[3,1]"
train_35277,agriculture clear primary road water,"[1,0]"
train_7024,clear primary,"[1,1]"
train_5831,agriculture clear habitation primary road,"[1,0]"
train_28745,clear primary,"[3,1]"
train_347,partly_cloudy primary road water,"[3,0]"
train_23677,partly_cloudy primary,"[2,0]"
train_33131,partly_cloudy primary,"[1,1]"
train_35744,clear primary water,"[3,0]"
train_39081,clear primary,"[3,1]"
train_29251,clear water,"[1,0]"
train_17104,clear primary,"[3,0]"
train_19823,haze primary,"[2,0]"
train_25971,cloudy,"[3,0]"
train_26640,partly_cloudy primary,"[3,1]"
train_28340,clear primary water,"[3,0]"
train_33656,clear primary,"[2,1]"
train_3598,agriculture partly_cloudy primary water,"[2,1]"
train_15189,partly_cloudy primary,"[2,1]"
train_35572,clear primary,"[2,0]"
train_34586,clear primary selective_logging,"[2,1]"
train_24896,agriculture clear primary road,"[3,1]"
train_28948,partly_cloudy primary,"[2,1]"
train_19419,artisinal_mine clear primary water,"[1,1]"
train_29690,agriculture clear primary water,"[1,1]"
train_16339,partly_cloudy primary water,"[1,0]"
train_13229,agriculture cultivation habitation partly_cloudy primary,"[1,0]"
train_34614,agriculture clear primary road,"[3,1]"
train_22768,agriculture clear primary,"[2,0]"
train_20590,clear primary,"[2,1]"
train_10434,clear primary water,"[2,0]"
train_9536,clear primary,"[1,0]"
train_39780,clear primary,"[1,0]"
train_24268,agriculture habitation haze primary road,"[3,0]"
train_4326,agriculture partly_cloudy primary water,"[2,1]"
train_10999,clear primary road selective_logging,"[1,1]"
train_36188,clear primary,"[2,0]"
train_6830,clear primary,"[1,1]"
train_12518,clear water,"[3,0]"
train_32992,agriculture clear habitation primary road water,"[3,0]"
train_40281,partly_cloudy primary,"[2,1]"
train_9399,agriculture clear primary,"[2,0]"
train_19575,agriculture clear cultivation primary water,"[1,1]"
train_38263,cloudy,"[3,1]"
train_28695,clear water,"[2,0]"
train_39144,clear primary,"[2,1]"
train_7599,partly_cloudy primary,"[2,0]"
train_3928,agriculture cultivation partly_cloudy primary,"[3,1]"
train_35111,agriculture clear primary road,"[2,1]"
train_2355,agriculture partly_cloudy primary,"[1,1]"
train_29087,agriculture clear habitation primary road,"[2,1]"
train_19342,agriculture clear cultivation primary road,"[2,0]"
train_38334,agriculture clear cultivation primary road,"[2,1]"
train_39696,clear habitation primary water,"[2,0]"
train_27884,cloudy,"[1,1]"
train_20295,agriculture clear primary,"[3,0]"
train_29364,agriculture cultivation partly_cloudy primary,"[2,1]"
train_29080,cloudy,"[2,0]"
train_31377,agriculture clear primary road water,"[2,0]"
train_19795,agriculture partly_cloudy primary water,"[3,1]"
train_22360,clear water,"[2,0]"
train_24020,agriculture clear habitation primary road,"[3,1]"
train_16279,haze primary,"[2,1]"
train_36384,clear primary,"[2,0]"
train_30982,clear primary,"[3,0]"
train_36516,cultivation partly_cloudy primary,"[1,1]"
train_20707,clear primary,"[2,0]"
train_1846,cultivation partly_cloudy primary,"[2,0]"
train_3827,agriculture clear habitation primary road,"[1,0]"
train_14437,clear primary,"[1,0]"
train_13838,clear cultivation primary,"[3,1]"
train_4511,clear primary selective_logging,"[2,0]"
train_28754,agriculture clear primary,"[2,1]"
train_14067,clear primary,"[1,1]"
train_5835,clear primary,"[3,0]"
train_1981,clear primary,"[3,0]"
train_36817,clear primary,"[1,1]"
train_961,partly_cloudy primary,"[2,0]"
train_10138,partly_cloudy primary,"[2,1]"
train_28955,clear primary,"[3,0]"
train_31618,agriculture clear habitation primary road,"[3,1]"
train_16595,agriculture clear habitation primary road,"[2,0]"
train_34846,agriculture clear primary,"[1,0]"
train_7281,partly_cloudy primary road,"[2,1]"
train_15138,haze primary,"[1,0]"
train_35378,clear primary,"[3,1]"
train_20799,agriculture clear habitation primary road,"[2,0]"
train_33935,clear primary,"[2,1]"
train_22696,clear primary,"[1,0]"
train_29715,clear primary,"[1,0]"
train_15733,clear primary,"[3,0]"
train_35539,agriculture clear habitation road,"[2,1]"
train_17653,agriculture clear cultivation primary slash_burn water,"[2,1]"
train_17304,agriculture cultivation haze primary,"[2,1]"
train_31302,clear primary,"[3,0]"
train_10205,clear conventional_mine primary road,"[3,0]"
train_5323,clear primary,"[3,1]"
train_23926,clear primary,"[3,0]"
train_29241,bare_ground clear cultivation primary,"[3,0]"
train_18636,agriculture clear cultivation cultivation primary,"[1,0]"
train_39559,agriculture clear habitation primary road,"[1,0]"
train_22694,agriculture clear cultivation primary,"[1,0]"
train_24121,clear primary,"[1,0]"
train_12728,clear cultivation primary,"[1,1]"
train_10572,clear primary,"[1,1]"
train_29556,agriculture haze primary water,"[3,1]"
train_10628,clear primary,"[2,0]"
train_35721,clear primary,"[2,0]"
train_27859,clear primary road water,"[3,1]"
train_24092,haze primary,"[2,1]"
train_14762,agriculture clear primary,"[2,0]"
train_19179,clear primary,"[1,1]"
train_5913,partly_cloudy primary water,"[2,1]"
train_34306,clear primary,"[2,1]"
train_9619,clear primary,"[3,0]"
train_34125,cloudy,"[1,0]"
train_29153,clear primary,"[1,1]"
train_38479,clear primary,"[1,0]"
train_19832,clear primary,"[2,1]"
train_19492,clear primary,"[3,0]"
train_27730,agriculture partly_cloudy primary road,"[3,1]"
train_14893,clear primary,"[2,0]"
train_22611,clear primary,"[2,0]"
train_8417,clear primary,"[2,1]"
train_39339,clear primary road,"[2,1]"
train_279,clear cultivation primary,"[2,1]"
train_5503,partly_cloudy primary road water,"[1,0]"
train_24701,partly_cloudy primary water,"[1,0]"
train_34234,cloudy,"[1,1]"
train_38138,clear primary,"[1,0]"
train_38837,partly_cloudy primary,"[3,1]"
train_25748,clear primary,"[1,1]"
train_19908,clear primary,"[3,1]"
train_12983,cloudy,"[1,0]"
train_23589,agriculture clear primary selective_logging,"[2,1]"
train_27498,clear primary,"[1,1]"
train_33270,blooming clear primary,"[3,0]"
train_35885,partly_cloudy primary,"[2,0]"
train_38944,clear primary,"[2,1]"
train_1339,cloudy,"[3,0]"
train_27795,clear habitation road,"[1,1]"
train_19493,agriculture clear primary,"[1,0]"
train_29994,partly_cloudy primary,"[3,1]"
train_20105,clear primary,"[3,0]"
train_17352,agriculture cultivation partly_cloudy primary,"[1,1]"
train_620,partly_cloudy primary,"[3,1]"
train_25321,clear primary,"[2,0]"
train_11826,agriculture partly_cloudy primary road,"[3,0]"
train_7893,agriculture clear habitation primary road,"[2,0]"
train_4993,partly_cloudy primary,"[1,0]"
train_2509,clear primary,"[2,1]"
train_22267,partly_cloudy primary,"[3,0]"
train_31011,agriculture clear habitation primary road water,"[2,0]"
train_13824,partly_cloudy primary,"[2,0]"
train_14040,agriculture haze primary water,"[1,0]"
train_1697,partly_cloudy primary,"[1,0]"
train_30486,agriculture clear habitation primary road,"[3,1]"
train_38270,clear cultivation primary,"[1,0]"
train_12562,clear primary water,"[3,1]"
train_11414,haze primary water,"[2,0]"
train_38520,clear primary,"[2,0]"
train_28981,clear primary water,"[2,1]"
train_17529,clear primary water,"[2,0]"
train_8571,agriculture clear cultivation primary,"[2,0]"
train_29785,clear cultivation primary,"[3,0]"
train_21893,partly_cloudy primary,"[1,1]"
train_459,clear primary,"[3,0]"
train_18790,haze primary,"[3,0]"
train_24315,clear primary,"[3,0]"
train_17916,agriculture clear cultivation primary,"[2,1]"
train_19328,clear primary,"[1,1]"
train_14875,clear primary,"[2,0]"
train_39196,clear primary,"[1,0]"
train_28767,clear primary,"[2,1]"
train_21982,agriculture clear primary,"[2,0]"
train_26773,agriculture clear habitation primary road,"[3,0]"
train_10996,agriculture clear habitation primary,"[2,1]"
train_18374,clear primary road water,"[1,1]"
train_36226,agriculture clear primary water,"[3,0]"
train_10445,agriculture clear primary,"[2,0]"
train_9609,clear primary,"[1,1]"
train_37095,agriculture clear cultivation primary,"[2,1]"
train_20717,clear primary,"[3,1]"
train_15670,partly_cloudy primary,"[1,1]"
train_9885,clear cultivation primary,"[1,1]"
train_26377,agriculture partly_cloudy primary road,"[2,0]"
train_8271,clear primary,"[1,1]"
train_4243,agriculture clear primary,"[2,1]"
train_35526,partly_cloudy primary,"[1,1]"
train_30628,partly_cloudy primary,"[1,0]"
train_37087,agriculture clear primary road,"[1,0]"
train_9969,clear primary,"[1,1]"
train_21660,partly_cloudy primary,"[1,0]"
train_20702,partly_cloudy primary,"[1,1]"
train_6960,clear primary,"[1,1]"
train_3077,haze primary,"[2,1]"
train_9988,clear primary,"[3,0]"
train_16642,clear primary,"[2,1]"
train_32302,agriculture clear cultivation primary,"[2,1]"
train_14936,clear primary,"[2,1]"
train_19889,clear water,"[1,0]"
train_6377,haze primary,"[2,0]"
train_29541,clear primary,"[1,1]"
train_12506,clear primary,"[2,1]"
train_5362,clear primary,"[1,1]"
train_9761,cloudy,"[3,0]"
train_25142,agriculture clear cultivation primary,"[2,0]"
train_21551,clear primary,"[3,0]"
train_37642,clear primary,"[2,1]"
train_1020,clear primary water,"[3,0]"
train_7595,agriculture clear primary,"[2,0]"
train_32833,agriculture clear cultivation primary,"[1,0]"
train_5103,agriculture clear habitation primary road,"[2,0]"
train_34768,clear primary road selective_logging,"[3,1]"
train_34168,clear primary,"[2,1]"
train_36979,clear primary,"[2,1]"
train_10000,clear primary,"[3,0]"
train_10173,cloudy,"[3,0]"
train_116,agriculture clear primary road,"[2,1]"
train_31390,clear primary,"[1,0]"
train_5588,clear cultivation primary water,"[3,1]"
train_29267,clear primary selective_logging,"[1,0]"
train_32006,agriculture habitation partly_cloudy primary road water,"[3,1]"
train_33503,agriculture clear habitation primary road water,"[1,0]"
train_1864,clear primary,"[3,1]"
train_23813,clear primary,"[2,0]"
train_16446,agriculture partly_cloudy primary road,"[3,0]"
train_3118,clear primary water,"[2,0]"
train_15536,clear primary,"[2,0]"
train_9495,partly_cloudy primary water,"[3,1]"
train_4131,clear primary,"[3,1]"
train_7041,partly_cloudy primary road water,"[2,1]"
train_25367,partly_cloudy primary,"[3,0]"
train_25436,partly_cloudy primary,"[2,0]"
train_29966,clear primary,"[3,1]"
train_11220,clear primary water,"[2,1]"
train_21114,clear primary,"[1,1]"
train_1696,clear primary,"[3,1]"
train_7627,partly_cloudy primary,"[3,0]"
train_36848,clear primary road water,"[3,1]"
train_4624,haze primary water,"[1,0]"
train_38552,agriculture habitation partly_cloudy primary road,"[2,1]"
train_37721,haze primary,"[3,0]"
train_1756,cloudy,"[2,0]"
train_15695,agriculture partly_cloudy primary,"[3,1]"
train_3341,clear primary,"[3,1]"
train_32522,partly_cloudy primary,"[1,1]"
train_29233,clear primary,"[1,0]"
train_38194,partly_cloudy primary,"[2,1]"
train_37112,partly_cloudy primary,"[3,1]"
train_12885,agriculture clear cultivation primary,"[1,1]"
train_11524,clear primary,"[3,1]"
train_1000,partly_cloudy primary,"[3,1]"
train_22123,cloudy,"[2,0]"
train_29082,clear primary,"[1,0]"
train_8679,agriculture partly_cloudy primary,"[3,0]"
train_14339,cloudy,"[2,1]"
train_31485,partly_cloudy primary,"[1,1]"
train_35779,partly_cloudy primary,"[2,0]"
train_30160,clear primary road water,"[3,0]"
train_38609,clear primary,"[2,1]"
train_35994,clear primary,"[2,1]"
train_146,clear cultivation primary,"[2,1]"
train_34434,bare_ground clear primary water,"[1,0]"
train_33669,haze primary road water,"[1,0]"
train_5804,clear primary,"[3,0]"
train_31583,clear primary,"[1,1]"
train_8585,bare_ground clear primary,"[1,1]"
train_31924,agriculture clear cultivation primary,"[3,1]"
train_8433,agriculture clear primary road,"[1,0]"
train_34368,agriculture clear primary,"[2,0]"
train_24919,agriculture clear primary,"[2,0]"
train_37689,clear primary,"[3,0]"
train_30337,blooming clear primary,"[1,1]"
train_32447,partly_cloudy primary,"[3,0]"
train_15015,agriculture clear habitation primary,"[3,0]"
train_4260,clear primary,"[1,0]"
train_18835,clear habitation primary road,"[2,1]"
train_14139,clear primary,"[3,0]"
train_27709,clear primary,"[1,0]"
train_1121,haze primary,"[1,1]"
train_7411,cloudy,"[2,0]"
train_18458,haze primary road water,"[2,0]"
train_11267,clear primary,"[1,1]"
train_10219,clear habitation primary road,"[3,1]"
train_26477,agriculture partly_cloudy primary road,"[3,1]"
train_6297,clear primary,"[3,1]"
train_22776,clear primary,"[1,0]"
train_6713,clear primary,"[2,0]"
train_22148,clear primary,"[3,1]"
train_11085,agriculture clear primary road water,"[1,1]"
train_17458,agriculture partly_cloudy primary water,"[2,1]"
train_38937,clear primary,"[2,1]"
train_1855,clear primary,"[2,0]"
train_5963,agriculture cultivation partly_cloudy primary road,"[1,0]"
train_11108,agriculture clear habitation primary road,"[2,0]"
train_26771,agriculture partly_cloudy primary road,"[1,0]"
train_17150,agriculture clear cultivation primary,"[1,0]"
train_24657,clear primary,"[3,1]"
train_23663,agriculture clear primary road,"[2,0]"
train_38933,partly_cloudy primary,"[2,1]"
train_11787,clear primary,"[2,0]"
train_28680,cloudy,"[1,0]"
train_6257,clear cultivation primary water,"[2,0]"
train_2033,agriculture clear primary road,"[3,0]"
train_1170,clear habitation primary road,"[3,0]"
train_14695,agriculture clear primary,"[3,1]"
train_20952,clear primary,"[3,1]"
train_32722,partly_cloudy primary,"[3,0]"
train_16700,clear primary road water,"[1,0]"
train_28484,partly_cloudy primary,"[1,0]"
train_31320,agriculture clear habitation primary road,"[3,0]"
train_14157,clear primary,"[3,0]"
train_6808,partly_cloudy primary,"[2,1]"
train_10488,clear primary,"[1,1]"
train_30679,blooming clear primary road,"[2,0]"
train_32377,artisinal_mine clear primary water,"[3,1]"
train_7349,clear primary,"[1,0]"
train_174,cloudy,"[1,1]"
train_11523,clear primary,"[1,0]"
